Last Disposition Date (date of issuance of vacate),Last Disposition Year,House Number,Street Name,Borough Name,ZIP Code,Block,Lot,Complaint  Category Description,Last Disposition Code Description
6/20/2012,2012,161-31,MATHIAS AVENUE,Queens,11433,12182,105,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
6/20/2012,2012,216-23,136 ROAD,Queens,11413,13017,17,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
6/21/2012,2012,144-38,  75 ROAD,Queens,11367,6665,24,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
6/22/2012,2012,91-36,116 STREET,Queens,11418,9325,21,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
6/23/2012,2012,228-35,114 TERRACE,Queens,11411,11274,7,ACCIDENT - CONSTRUCTION/PLUMBING,PARTIAL VACATE ORDER ISSUED                                              P
6/25/2012,2012,34-31,89 STREET,Queens,11372,1450,58,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
6/26/2012,2012,8,CRESCENT STREET,Brooklyn,11208,4105,43,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
6/26/2012,2012,26-Oct,GIPSON STREET,Queens,11691,15714,27,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
6/28/2012,2012,3061,HULL AVENUE,Bronx,10467,3333,55,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
6/28/2012,2012,1681,NOSTRAND AVENUE,Brooklyn,11226,4930,71,ILLEGAL CONVERSION COMMERCIAL BLDG/SPACE TO DWELLING UNITS,PARTIAL VACATE ORDER ISSUED                                              P
6/28/2012,2012,194-55,114 ROAD,Queens,11412,11010,38,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
6/29/2012,2012,230-15,87 AVENUE,Queens,11427,7943,221,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/2/2012,2012,1536,JESUP AVENUE,Bronx,10452,2872,279,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/2/2012,2012,91,MESEROLE STREET,Brooklyn,11206,3042,29,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),FULL VACATE ORDER ISSUED                                                 F
7/4/2012,2012,173-11,  73 AVENUE,Queens,11366,6961,4,ACCIDENT - CONSTRUCTION/PLUMBING,PARTIAL VACATE ORDER ISSUED                                              P
7/5/2012,2012,83-37,240 STREET,Queens,11426,7908,17,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/5/2012,2012,104-17,186 STREET,Queens,11412,10372,10,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/11/2012,2012,62-17,99 STREET,Queens,11374,2107,1,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/11/2012,2012,73-17,164 STREET,Queens,11366,6965,23,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
7/11/2012,2012,89-12, 182 PLACE,Queens,11423,9921,30,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
7/11/2012,2012,119-06,NEWPORT AVENUE,Queens,11694,16201,20,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/17/2012,2012,111-60,VAN WYCK EXPRESSWAY,Queens,11420,11639,40,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/18/2012,2012,253-23,148 AVENUE,Queens,11422,13651,52,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/19/2012,2012,234,EAST 27 STREET,Manhattan,10016,907,40,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
7/20/2012,2012,3026,ELY AVENUE,Bronx,10469,4780,49,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
7/20/2012,2012,120,HIGHLAND PLACE,Brooklyn,11208,3929,47,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/23/2012,2012,170-14,84 AVENUE,Queens,11432,9874,29,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/23/2012,2012,179-31,90 AVENUE,Queens,11432,9915,4,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
7/24/2012,2012,3110,MICKLE AVENUE,Bronx,10469,4764,42,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
7/24/2012,2012,1509,EAST   48 STREET,Brooklyn,11234,7828,12,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
7/24/2012,2012,105-72, 130 STREET,Queens,11419,9583,44,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
7/24/2012,2012,109-27,125 STREET,Queens,11420,11606,54,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/25/2012,2012,175,HULL STREET,Brooklyn,11233,1534,56,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/26/2012,2012,198-29,FOOTHILL AVENUE,Queens,11423,10532,151,WALL/RETAINING WALL - BULGING/CRACKED,PARTIAL VACATE ORDER ISSUED                                              P
7/27/2012,2012,665,NEW YORK AVENUE,Brooklyn,11203,4820,1,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
7/31/2012,2012,624,EAST 11 STREET,Manhattan,10009,393,19,DEBRIS/BUILDING - FALLING OR IN DANGER OF FALLING,PARTIAL VACATE ORDER ISSUED                                              P
7/31/2012,2012,101-35, 126 STREET,Queens,11419,9493,59,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/1/2012,2012,105-18, 103 DRIVE,Queens,11417,9509,69,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/2/2012,2012,107-23,104 STREET,Queens,11417,9542,51,FAILURE TO COMPLY WITH VACATE ORDER,PARTIAL VACATE ORDER ISSUED                                              P
8/5/2012,2012,11,VAN BUREN STREET,Brooklyn,11221,1791,80,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
8/6/2012,2012,973,  62 STREET,Brooklyn,11219,5722,78,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
8/6/2012,2012,64-08,HULL AVENUE,Queens,11378,2714,12,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/6/2012,2012,89-31, 198 STREET,Queens,11423,10487,10,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/6/2012,2012,117-42,124 STREET,Queens,11420,11745,65,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/7/2012,2012,89-51, 198 STREET,Queens,11423,10487,1,ILLEGAL CONVERSION                                                        +,FULL VACATE ORDER ISSUED                                                 F
8/7/2012,2012,39-15,JANET PLACE,Queens,11354,4962,25,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
8/8/2012,2012,37,WEST 116 STREET,Manhattan,10026,1600,15,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
8/9/2012,2012,454,   3 AVENUE,Brooklyn,11215,1002,34,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
8/9/2012,2012,106-38,150 STREET,Queens,11435,10089,13,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),PARTIAL VACATE ORDER ISSUED                                              P
8/10/2012,2012,759,GLENMORE AVENUE,Brooklyn,11208,3987,29,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/10/2012,2012,149-53,19 AVENUE,Queens,11357,4668,26,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
8/10/2012,2012,107-01, 160 STREET,Queens,11433,10139,73,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/10/2012,2012,109-09, 153 STREET,Queens,11433,12143,105,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/13/2012,2012,74-27,85 DRIVE,Queens,11421,8838,54,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
8/14/2012,2012,73-25,  53 AVENUE,Queens,11378,2489,53,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/14/2012,2012,101-33,111 STREET,Queens,11419,9429,60,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/15/2012,2012,1127,EAST   51 STREET,Brooklyn,11234,7735,15,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
8/15/2012,2012,71-07,67 STREET,Queens,11385,3680,4,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
8/16/2012,2012,32-13, 112 STREET,Queens,11369,1706,49,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
8/17/2012,2012,220-06,109 AVENUE,Queens,11429,11197,81,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
8/17/2012,2012,115-30, 175 STREET,Queens,11434,12405,123,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/21/2012,2012,31-43,93 STREET,Queens,11369,1405,46,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),PARTIAL VACATE ORDER ISSUED                                              P
8/21/2012,2012,97-15, 121 STREET,Queens,11419,9461,42,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/22/2012,2012,312,CANAL STREET,Manhattan,10013,210,12,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
8/22/2012,2012,35-32,63 STREET,Queens,11377,1201,36,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/22/2012,2012,90-24,  77 STREET,Queens,11421,8951,17,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
8/23/2012,2012,2900,STILLWELL AVENUE,Brooklyn,11224,7064,4,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
8/24/2012,2012,110,VAN PELT AVENUE,Staten Island,10303,1215,49,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
8/28/2012,2012,137,EAST BROADWAY,Manhattan,10002,283,36,SEP - PROFESSIONAL CERTIFICATION COMPLIANCE AUDIT,PARTIAL VACATE ORDER ISSUED                                              P
8/28/2012,2012,475,LAFAYETTE AVENUE,Brooklyn,11205,1942,49,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
8/29/2012,2012,767,EAST 10 STREET,Brooklyn,11230,6498,66,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
8/30/2012,2012,67,FORT GREENE PLACE,Brooklyn,11217,2098,10,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
8/30/2012,2012,31-34,  97 STREET,Queens,11369,1408,22,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
8/31/2012,2012,81-15,257 STREET,Queens,11004,8732,28,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/1/2012,2012,106,CHESTER AVENUE,Brooklyn,11218,5310,16,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/4/2012,2012,1779,MONROE AVENUE,Bronx,10457,2797,37,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/4/2012,2012,342,KINGSTON AVENUE,Brooklyn,11213,1285,7501,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
9/4/2012,2012,116-27, 168 STREET,Queens,11434,12350,20,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/4/2012,2012,103-14, 169 STREET,Queens,11433,10222,21,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/5/2012,2012,3212,DECATUR AVENUE,Bronx,10467,3354,9,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
9/6/2012,2012,88-25, 179 PLACE,Queens,11432,9915,22,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
9/6/2012,2012,114-50,SUTPHIN BOULEVARD,Queens,11434,11980,27,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
9/6/2012,2012,177-01, 137 AVENUE,Queens,11434,12991,3,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/11/2012,2012,295,ETNA STREET,Brooklyn,11208,4106,92,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/11/2012,2012,106-30,RUSCOE STREET,Queens,11433,10252,64,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
9/12/2012,2012,107-41, 130 STREET,Queens,11419,9610,59,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/12/2012,2012,241-12,NEWHALL AVENUE,Queens,11422,13544,26,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/12/2012,2012,143-37,243 STREET,Queens,11422,13571,37,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/12/2012,2012,219-15, 145 AVENUE,Queens,11413,13490,8,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/13/2012,2012,912,SARATOGA AVENUE,Brooklyn,11212,3607,8,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
9/13/2012,2012,10,PAERDEGAT 11 STREET,Brooklyn,11236,8070,5,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
9/14/2012,2012,889,LIBERTY AVENUE,Brooklyn,11208,4154,99,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/14/2012,2012,94-11, 134 STREET,Queens,11419,9450,74,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/17/2012,2012,1999,MORRIS AVENUE,Bronx,10453,2829,13,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
9/17/2012,2012,76,HENDRIX STREET,Brooklyn,11207,3918,18,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/17/2012,2012,36-38,32 STREET,Queens,11106,600,45,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),PARTIAL VACATE ORDER ISSUED                                              P
9/17/2012,2012,102-12,STRONG AVENUE,Queens,11368,1940,14,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/18/2012,2012,284,MONTAUK AVENUE,Brooklyn,11208,4055,27,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/18/2012,2012,32-01,83 STREET,Queens,11370,1413,4,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/18/2012,2012,25-50,GILLMORE STREET,Queens,11369,1652,32,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/18/2012,2012,80-32, 138 STREET,Queens,11435,6636,35,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/19/2012,2012,33-13,98 STREET,Queens,11368,1713,62,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/19/2012,2012,121-09, 133 AVENUE,Queens,11420,11728,8,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/20/2012,2012,89-19, 170 STREET,Queens,11432,9805,42,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/20/2012,2012,114-30,132 STREET,Queens,11420,11657,16,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/21/2012,2012,40-69,JUNCTION BOULEVARD,Queens,11368,1605,41,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/21/2012,2012,86-40,89 STREET,Queens,11421,8863,85,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/24/2012,2012,499,GREENE AVENUE,Brooklyn,11216,1794,189,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
9/24/2012,2012,94-27, 209 STREET,Queens,11428,10542,8,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/25/2012,2012,317,WEST 51 STREET,Manhattan,10019,1042,23,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/25/2012,2012,111-11,179 PLACE,Queens,11433,10298,75,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),PARTIAL VACATE ORDER ISSUED                                              P
9/25/2012,2012,89-18, 220 STREET,Queens,11427,10665,59,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/26/2012,2012,437,MANHATTAN AVENUE,Manhattan,10026,1945,11,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/26/2012,2012,238,ARLINGTON AVENUE,Brooklyn,11207,3939,17,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/26/2012,2012,131-12,LINDEN BOULEVARD,Queens,11420,11657,5,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/27/2012,2012,145-65,LAKEWOOD AVENUE,Queens,11435,10084,19,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/28/2012,2012,897,MONTGOMERY STREET,Brooklyn,11213,1418,49,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
9/28/2012,2012,897,MONTGOMERY STREET,Brooklyn,11213,1418,49,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/28/2012,2012,1925,WEST   12 STREET,Brooklyn,11223,7077,77,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
9/28/2012,2012,137-08, 257 STREET,Queens,11422,13630,17,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
9/28/2012,2012,5309,ARTHUR KILL RD,Staten Island,10307,7997,58,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
9/30/2012,2012,507,HEGEMAN AVENUE,Brooklyn,11207,4297,41,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
10/1/2012,2012,503,HEGEMAN AVENUE,Brooklyn,11207,4297,42,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
10/1/2012,2012,130-48,236 STREET,Queens,11422,12914,69,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/1/2012,2012,139-40,253 STREET,Queens,11422,13608,42,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/2/2012,2012,85-57,PARSONS BOULEVARD,Queens,11432,9778,6,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
10/2/2012,2012,142-37,130 AVENUE,Queens,11436,12066,44,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/3/2012,2012,168,WEST KINGSBRIDGE ROAD,Bronx,10463,3240,58,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
10/5/2012,2012,92-37, 214 STREET,Queens,11428,10627,7,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/6/2012,2012,102-27,216 STREET,Queens,11429,11092,9,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/9/2012,2012,137-09,BEDELL STREET,Queens,11413,13022,41,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/10/2012,2012,32-57,78 STREET,Queens,11370,1174,50,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/10/2012,2012,138-02,106 AVENUE,Queens,11435,10039,26,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
10/11/2012,2012,579,EAST 86 STREET,Brooklyn,11236,7965,18,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/11/2012,2012,66-39,74 STREET,Queens,11379,3059,22,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/12/2012,2012,3226,FULTON STREET,Brooklyn,11208,4141,20,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/18/2012,2012,95-35,112 STREET,Queens,11419,9414,76,ILLEGAL CONVERSION                                                        +,FULL VACATE ORDER ISSUED                                                 F
10/18/2012,2012,315,BEACH 28 STREET,Queens,11691,15798,21,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/19/2012,2012,19,EAST  184 STREET,Bronx,10468,3188,90,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
10/20/2012,2012,92-04, 213 STREET,Queens,11428,10625,2,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/22/2012,2012,167-15, 109 ROAD,Queens,11433,10186,40,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),FULL VACATE ORDER ISSUED                                                 F
10/23/2012,2012,789,WILLOW ROAD WEST,Staten Island,10314,1517,24,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/25/2012,2012,135-19,234 STREET,Queens,11422,13200,24,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/26/2012,2012,725,EAST    5 STREET,Brooklyn,11218,5399,64,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/26/2012,2012,84-37, 103 AVENUE,Queens,11417,9086,26,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/29/2012,2012,144-42,158 STREET,Queens,11434,15012,420,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
10/30/2012,2012,47,CEDARVIEW AVENUE,Staten Island,10306,4394,12,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
10/31/2012,2012,85-15,210 STREET,Queens,11427,7814,51,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
11/2/2012,2012,107-12,113 STREET,Queens,11419,9550,11,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
11/3/2012,2012,167-20,29 AVENUE,Queens,11358,4921,10,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
11/4/2012,2012,88-22,ELIOT AVENUE,Queens,11374,3076,10,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
11/4/2012,2012,134-01,107 AVENUE,Queens,11419,9594,40,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
11/5/2012,2012,250-21,THORNHILL AVENUE,Queens,11362,8239,23,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
11/5/2012,2012,91-34, 118 STREET,Queens,11418,9349,22,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
11/12/2012,2012,383,ELDERT LANE,Brooklyn,11208,4178,16,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
11/13/2012,2012,6022,   5 AVENUE,Brooklyn,11220,5782,41,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
11/14/2012,2012,111-27,126 STREET,Queens,11420,11631,49,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
11/18/2012,2012,87-17,  95 AVENUE,Queens,11416,9023,18,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
11/19/2012,2012,4034,ATLANTIC AVENUE,Brooklyn,11224,7042,17,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
11/20/2012,2012,60-02,56 ROAD,Queens,11378,2704,53,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
11/22/2012,2012,215-22,112 AVENUE,Queens,11429,11141,75,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
11/26/2012,2012,181,WARWICK STREET,Brooklyn,11207,3938,4,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
11/26/2012,2012,150-43,  75 AVENUE,Queens,11367,6703,2,DEBRIS/BUILDING - FALLING OR IN DANGER OF FALLING,PARTIAL VACATE ORDER ISSUED                                              P
11/28/2012,2012,132-69,METROPOLITAN AVENUE,Queens,11418,9285,92,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
