Last Disposition Date (date of issuance of vacate),Last Disposition Year,House Number,Street Name,Borough Name,ZIP Code,Block,Lot,Complaint  Category Description,Last Disposition Code Description
12/29/2021,2021,104-03,101 AVENUE,Queens,11416,9406,35,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
12/30/2021,2021,561,WEST 141 STREET,Manhattan,10031,2073,1,AFTER HOURS WORK - ILLEGAL,PARTIAL VACATE ORDER ISSUED                                              P
12/30/2021,2021,78,SOUTH    6 STREET,Brooklyn,11249,2470,17,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
12/30/2021,2021,219-10,133 AVENUE,Queens,11413,12957,73,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/3/2022,2022,811,CROTONA PARK NORTH,Bronx,10460,2952,5,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/3/2022,2022,632,HALSEY STREET,Brooklyn,11233,1667,10,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/3/2022,2022,106-01,BREWER BOULEVARD,Queens,11433,10161,1,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/4/2022,2022,317,EAST  141 STREET,Bronx,10454,2315,43,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/4/2022,2022,4054,BRONX BOULEVARD,Bronx,10466,4822,10,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/4/2022,2022,102-00,SHORE FRONT PARKWAY,Queens,11694,16175,1,DEBRIS/BUILDING - FALLING OR IN DANGER OF FALLING,PARTIAL VACATE ORDER ISSUED                                              P
1/5/2022,2022,97-16,90 STREET,Queens,11416,9063,11,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,473,EAST 143 STREET,Bronx,10454,2288,65,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
1/6/2022,2022,467,EAST  143 STREET,Bronx,10454,2288,68,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,PARTIAL VACATE ORDER ISSUED                                              P
